RYE,FHR,SR64,EMP,PBR,MC
6.83902439,6.532591415,3.335195531,1.931481481,6.436293436,5.833333333
6.676190476,4.880047506,3.640243902,1.896363636,6.290566038,5.849582173
6.599186992,6.502384738,3.720670391,2.196296296,6.262548263,5.947222222
6.442063492,4.857482185,4.06097561,2.156363636,6.120754717,5.963788301
4.808130081,5.629570747,3.706703911,2.351851852,5.984555985,5.586111111
4.693650794,4.205463183,4.045731707,2.309090909,5.849056604,5.601671309
6.416260163,5.982511924,3.55027933,2.52037037,5.891891892,6.097222222
6.263492063,4.46912114,3.875,2.474545455,5.758490566,6.114206128
8.458015267,2.866206897,,,,
8.758893281,3.12481203,,,,
8.494910941,3.009655172,,,,
8.797101449,3.281203008,,,,
8.610687023,3.175862069,,,,
8.916996047,3.462406015,,,,
8.731552163,2.815172414,,,,
9.042160738,3.069172932,,,,
2.071782178,,,,,
2.337988827,,,,,
1.611881188,,,,,
1.818994413,,,,,
1.744059406,,,,,
1.968156425,,,,,
1.572277228,,,,,
1.774301676,,,,,
